S,E,I,R,D,Isum,Rsum
5.85e+07,20,1,0,0,1,0
5.85e+07,16,5,0,0,1,0
5.85e+07,15,8,0,0,3,0
5.85e+07,15,10,1,0,5,1
5.85e+07,15,12,1,0,9,1
5.85e+07,16,14,2,0,13,2
5.85e+07,18,17,3,0,18,3
5.85e+07,20,19,4,0,23,4
5.85e+07,23,22,5,0,30,5
5.84999e+07,26,25,6,0,37,6
5.84999e+07,29,29,7,0,46,7
5.84999e+07,33,32,9,1,55,9
5.84999e+07,38,37,11,1,66,11
5.84999e+07,43,42,13,1,78,13
5.84999e+07,48,48,15,1,92,15
5.84999e+07,55,54,18,1,108,18
5.84999e+07,62,62,21,1,126,21
5.84998e+07,71,70,24,1,147,24
5.84998e+07,81,79,28,2,170,28
5.84998e+07,92,90,33,2,196,33
5.84998e+07,104,103,38,2,227,38
5.84997e+07,118,117,43,3,261,43
5.84997e+07,134,132,50,3,300,50
5.84996e+07,153,150,57,3,344,57
5.84996e+07,179,171,66,4,399,66
5.84995e+07,207,195,75,5,462,75
5.84994e+07,239,223,86,5,533,86
5.84994e+07,275,256,98,6,616,98
5.84993e+07,276,294,113,7,669,113
5.84992e+07,285,330,129,8,731,129
5.84992e+07,299,365,147,9,800,147
5.84991e+07,318,401,168,10,877,168
5.8499e+07,341,438,190,12,961,190
5.84989e+07,367,478,214,13,1053,214
5.84988e+07,397,521,241,15,1153,241
5.84987e+07,430,566,270,16,1262,270
5.84986e+07,466,615,301,18,1381,301
5.84985e+07,506,669,335,21,1510,335
5.84983e+07,549,727,373,23,1651,373
5.84982e+07,596,789,413,25,1803,413
5.8498e+07,647,857,457,28,1969,457
5.84978e+07,702,931,505,31,2148,505
5.84976e+07,762,1011,556,34,2344,556
5.84974e+07,828,1098,612,37,2556,612
5.84972e+07,899,1192,674,41,2786,674
5.84969e+07,976,1295,740,45,3036,740
5.84967e+07,1060,1406,812,50,3308,812
5.84964e+07,1151,1527,890,54,3603,890
5.84961e+07,1250,1658,975,60,3923,975
5.84957e+07,1358,1801,1067,65,4271,1067
5.84953e+07,1474,1956,1167,71,4649,1167
5.84949e+07,1601,2124,1276,78,5059,1276
5.84945e+07,1739,2307,1394,85,5505,1394
5.8494e+07,1888,2505,1522,93,5989,1522
5.84935e+07,2051,2720,1662,102,6514,1662
5.84929e+07,2227,2954,1813,111,7085,1813
5.84923e+07,2418,3208,1977,121,7704,1977
5.84916e+07,2626,3484,2155,132,8377,2155
5.84909e+07,2852,3783,2349,144,9108,2349
5.84901e+07,3097,4108,2559,157,9901,2559
5.84892e+07,3363,4462,2788,170,10763,2788
5.8489e+07,2915,4845,3036,186,10962,3036
5.84888e+07,2570,5120,3305,202,11177,3305
5.84886e+07,2303,5312,3590,220,11405,3590
5.84883e+07,2097,5441,3885,238,11641,3885
5.84881e+07,1935,5523,4188,256,11883,4188
5.84879e+07,1809,5570,4495,275,12128,4495
5.84876e+07,1709,5589,4805,294,12376,4805
5.84874e+07,1629,5588,5115,313,12625,5115
5.84871e+07,1564,5571,5426,332,12873,5426
5.84869e+07,1511,5543,5736,351,13121,5736
5.84866e+07,1467,5507,6044,370,13367,6044
5.84864e+07,1430,5464,6350,388,13612,6350
5.84861e+07,1398,5417,6654,407,13855,6654
5.84859e+07,1370,5366,6955,425,14096,6955
5.84856e+07,1345,5313,7254,444,14335,7254
