S,I,R
5e+06,1,0
5e+06,2,0
5e+06,3,0
5e+06,5,1
4.99999e+06,8,1
4.99998e+06,16,3
4.99998e+06,19,3
4.99997e+06,26,5
4.99995e+06,46,8
4.99993e+06,59,11
4.99989e+06,91,17
4.99984e+06,136,25
4.99974e+06,222,42
4.99964e+06,303,57
4.99945e+06,461,86
4.99893e+06,904,170
4.99793e+06,1740,327
4.99661e+06,2856,537
4.99415e+06,4923,926
4.99332e+06,5626,1059
4.98922e+06,9070,1708
4.98904e+06,9219,1736
4.98704e+06,10804,2161
4.9857e+06,11853,2443
4.97715e+06,18597,4254
4.97454e+06,20654,4808
4.96712e+06,26495,6381
4.96405e+06,28916,7034
4.96124e+06,31130,7632
4.93347e+06,52991,13541
4.9232e+06,61064,15738
4.89544e+06,82870,21689
4.83417e+06,130933,34901
4.76437e+06,185491,50142
4.71728e+06,222148,60575
4.59702e+06,315499,87485
4.59671e+06,284375,118913
4.59645e+06,257964,145582
4.59599e+06,210747,193261
4.59588e+06,199147,204974
4.5956e+06,170243,234161
4.59543e+06,153370,251199
4.59522e+06,131151,273634
4.57785e+06,138545,283607
4.53714e+06,155788,307075
4.52272e+06,161821,315462
4.50414e+06,169557,326298
4.45973e+06,187949,352320
4.40427e+06,210595,385138
4.39961e+06,212462,387930
4.33572e+06,238031,426252
4.29663e+06,253327,450040
4.28989e+06,255929,454182
4.27469e+06,261777,463529
4.22126e+06,282225,496516
4.1449e+06,310850,544253
4.11253e+06,322610,564859
4.1125e+06,318711,568793
4.11249e+06,317509,570005
4.11225e+06,290136,597617
4.11222e+06,286688,601095
4.1121e+06,273821,614074
4.11167e+06,223760,664573
4.11134e+06,185735,702929
4.06455e+06,202491,732958
4.04875e+06,208033,743218
4.01602e+06,219432,764552
3.99221e+06,227595,780195
3.94247e+06,244455,813071
3.90691e+06,256215,836876
3.85878e+06,271834,869382
3.85856e+06,244600,896838
3.85855e+06,242789,898664
3.85838e+06,222765,918852
3.85806e+06,183645,958292
3.8578e+06,151431,990771
3.85763e+06,130856,1.01151e+06
3.85757e+06,123845,1.01858e+06
3.83217e+06,131871,1.03596e+06
3.80888e+06,139122,1.052e+06
3.79538e+06,143271,1.06135e+06
3.76844e+06,151477,1.08008e+06
3.76162e+06,153522,1.08486e+06
3.74332e+06,158983,1.09769e+06
3.70561e+06,170109,1.12428e+06
3.66798e+06,180943,1.15108e+06
3.65219e+06,185372,1.16243e+06
3.64103e+06,188469,1.1705e+06
3.59689e+06,200617,1.20249e+06
3.57869e+06,205466,1.21584e+06
3.54234e+06,215012,1.24265e+06
3.48989e+06,228390,1.28172e+06
3.4561e+06,236627,1.30727e+06
3.4174e+06,245779,1.33682e+06
3.36547e+06,257608,1.37692e+06
3.33804e+06,263532,1.39843e+06
3.27951e+06,275789,1.4447e+06
3.25357e+06,280858,1.46558e+06
3.19996e+06,290985,1.50905e+06
3.19971e+06,253411,1.54688e+06
3.19941e+06,209845,1.59074e+06
3.19928e+06,190738,1.60998e+06
3.19923e+06,182969,1.6178e+06
3.19901e+06,150157,1.65084e+06
3.19883e+06,124082,1.67709e+06
3.19881e+06,120625,1.68057e+06
3.17433e+06,124909,1.70076e+06
3.15603e+06,127996,1.71598e+06
3.14346e+06,130055,1.72648e+06
3.12523e+06,132982,1.74179e+06
3.11682e+06,134291,1.74889e+06
3.09313e+06,137923,1.76895e+06
3.08368e+06,139310,1.77701e+06
3.06986e+06,141305,1.78884e+06
3.0628e+06,142296,1.79491e+06
3.05691e+06,143110,1.79998e+06
3.04821e+06,144300,1.80749e+06
3.03059e+06,146667,1.82275e+06
3.01726e+06,148389,1.83435e+06
3.01179e+06,149075,1.83913e+06
2.98248e+06,152705,1.86482e+06
2.97909e+06,153094,1.86781e+06
2.97495e+06,153567,1.87148e+06
2.95866e+06,155408,1.88594e+06
2.93348e+06,158129,1.90839e+06
2.90059e+06,161432,1.93798e+06
2.86907e+06,164276,1.96666e+06
2.84584e+06,166139,1.98802e+06
2.8328e+06,167088,2.00011e+06
2.80725e+06,168837,2.02392e+06
2.79466e+06,169592,2.03574e+06
2.78463e+06,170151,2.04522e+06
2.7767e+06,170566,2.05273e+06
2.75677e+06,171555,2.07167e+06
2.74845e+06,171911,2.07964e+06
2.74327e+06,172118,2.08462e+06
2.71838e+06,173065,2.10856e+06
2.71412e+06,173189,2.11269e+06
2.68727e+06,173933,2.1388e+06
2.68175e+06,174033,2.14422e+06
2.65671e+06,174433,2.16886e+06
2.65422e+06,174450,2.17132e+06
2.62255e+06,174633,2.20282e+06
2.62082e+06,174622,2.20456e+06
2.60363e+06,174503,2.22186e+06
2.59787e+06,174425,2.22771e+06
2.59004e+06,174302,2.23566e+06
2.5641e+06,173812,2.26208e+06
2.54059e+06,173127,2.28628e+06
2.5198e+06,172322,2.30788e+06
2.48956e+06,170893,2.33955e+06
2.46997e+06,169718,2.36031e+06
2.44704e+06,168150,2.38481e+06
2.44427e+06,167933,2.3878e+06
2.44028e+06,167615,2.3921e+06
2.42496e+06,166368,2.40867e+06
